jadwalmatku ;Informasi mengenai Jadwal Mata Kuliah dan Ruang Kelas dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Jadwal Mahasiswa</li> </ol>;Matkul;Kelas;Jadwal Mata Kuliah;Jadwal Matkul;Ruangan Kelas;Ruang Kelas;Mata Kuliah;Masuk Kelas;Jam Masuk Kelas;Matakuliah;Jam Kuliah;Jadwal Kuliah;;;;;;;;;;;;;;;;;;;;;;;
ujiansemester;Informasi mengenai Ruangan dan Jadwal Ujian Semester dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Jadwal Ujian Mahasiswa</li> </ol>;Ujian Semester;Ruang Ujian;Ruangan Ujian;Tempat Ujian;Tempat Ruangan Ujian;UTS;UAS;Ujian Tengah Semster;Ujian Akhir Semester;;;;;;;;;;;;;;;;;;;;;;;;;;
cetakartu;Informasi mengenai Cetak Kartu Ujian dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Jadwal Ujian Mahasiswa</li> <li>Cetak Kartu Ujian (Print)</li> </ol>;Cetak kartu ujian;Mencetak kartu ujian;Print kartu ujian;Cetak ujian;Cetak kartu;Print kartu;Kartu ujian;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kuliahhybrid;Informasi mengenai Kuliah Hybrid dapat kamu akses pada link berikut: <a target='_blank' href='https://baa.telkomuniversity.ac.id/pelaksanaan-perkuliahan-hybrid-semester-genap-ta-2021-2022/'>Klik tautan ini</a>;Kuliah Hybrid;Kuliah Online;Kuliah Offline;Online;Offline;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nilaiakademik;Informasi mengenai Nilai Akademik dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Nilai</li> <li>KHS</li> <li>Lihat Nilai atau Lihat Nilai Semester</li> </ol>;Nilai Akademik;Nilai Semester;Nilai Kuliah;Score Semester;Score Akademik;Score Kuliah;Nilai;;;;;;;;;;;;;;;;;;;;;;;;;;;;
masaregis;Informasi mengenai Masa Registrasi dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Kalender Akademik</li> </ol>;Masa Registrasi;Masa regist;Registrasi Mata Kuliah;Regist Matkul;Masa Regis;Registrasi Kuliah;Registrasi;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cutiakademik;Informasi mengenai Pengajuan Cuti Akademik dapat kamu akses pada link berikut: <a target='_blank' href='https://baa.telkomuniversity.ac.id/pengajuan-cuti-akademik/'>Klik tautan ini</a>;Pengajuan Cuti Akademik;Cuti Akademik;Pengajuan Cuti;Cuti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sksmatkul;Informasi mengenai SKS Mata Kuliah dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Nilai</li> <li>KHS</li> <li>Lihat Ekivalensi</li> </ol>;SKS Mata Kuliah;SKS Matkul;SKS Semester;SKS Persemester;SKS;Total SKS;Jumlah SKS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
beasiswa;Informasi mengenai Beasiswa dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/beasiswa/'>Klik tautan ini</a>;Beasiswa;Beasiswa Telkom;Beasiswa Kuliah;Program Beasiswa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kalenderakademik;Informasi mengenai Kalender Akademik dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Registrasi</li> <li>Klik Jadwal</li> <li>Kalender Akademik</li> </ol>;Kalender Akademik;Kalender Pembelajaran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tak;Informasi mengenai TAK (Status, Pengajuan dan Verifikasi)  dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih TAK</li> </ol>;TAK;Pengajuan TAK;Verifikasi TAK;Input TAK;Transkrip Aktivitas Kemahasiswaan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tesbahasa;Informasi mengenai Tes Bahasa dan Pendaftaran Tes Bahasa dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Pusat Bahasa</li> </ol>;Tes Bahasa;Pusat Bahasa;ECCT;TUVEE;EPRT;Daftar EPRT;Daftar ECCT;Daftar TUVEE;Pendaftaran EPRT;Pendaftaran ECCT;Pendaftaran TUVEE;;;;;;;;;;;;;;;;;;;;;;;;
skortesbahasa;Informasi mengenai Skor Tes Bahasa dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Pusat Bahasa</li> <li>Klik Skor Tes Bahasa</li> <li>Nilai Tes Bahasa</li> </ol>;Skor Tes Bahasa;Score Tes Bahasa;Nilai Tes Bahasa;Nilai EPrT;Nilai ECCT;Nilai TUVEE;Score EPrT;Score ECCT ;Score TUVEE;Hasil EPrT;Hasil ECCT;Hasil TUVEE;Hasil Tes Bahasa;;;;;;;;;;;;;;;;;;;;;;
inputnilaitesbahasa;Informasi mengenai Input Nilai Tes Bahasa dari Instansi Luar dapat kamu akses pada link berikut: <a target='_blank' href='https://igracias.telkomuniversity.ac.id'>Klik tautan ini</a> <ol> <li>Login menggunakan akun SSO</li> <li>Pilih Pusat Bahasa</li> <li>Klik Skor Tes Bahasa</li> <li>Input Nilai dari Instansi Luar</li> </ol>;Input Nilai Tes Bahasa dari Luar Instansi;Input nilai bahasa dari luar telkom;Input Nilai Tes Bahasa dari Luar Instansi;Menambahkan nilai tes bahasa ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jurusan;Informasi mengenai Program Studi dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/program-studi/'>Klik tautan ini</a>;Program Studi;Jurusan;Prodi;Jurusan Telkom;Prodi Telkom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biayapendidikan;Informasi mengenai Biaya Pendidikan dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/biaya-pendidikan/'>Klik tautan ini</a>;Biaya Pendidikan;Biaya Kuliah;Biaya Semester;Tagihan Kuliah;Tagihan Semester;Bayaran Semester;Bayar Semester;Bayar Semesteran;Bayar BPP;Pembayaran BPP;BPP Semester;Bayaran BPP;;;;;;;;;;;;;;;;;;;;;;;
kelasinter;Informasi mengenai Kelas Internasional dapat kamu akses pada link berikut: <a target='_blank' href='https://smb.telkomuniversity.ac.id/kelas-internasional/'>Klik tautan ini</a>;Kelas Internasional;Kelas Inter;International Class;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
